user_id,timestamp,current_age,annual_income,state,retirement_age,roth_contribution,employer_match,match_limit,inflation_rate,salary_growth,401k_return,active_return,passive_return,roth_value,self_managed_value,difference
8e8f00ab-4751-4443-8e2b-15ded0ed7144,2025-02-10 16:39:36,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
8e8f00ab-4751-4443-8e2b-15ded0ed7144,2025-02-10 16:40:32,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
8e8f00ab-4751-4443-8e2b-15ded0ed7144,2025-02-10 16:40:40,22,100000,Alaska,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8945453.65,-22.4
8e8f00ab-4751-4443-8e2b-15ded0ed7144,2025-02-10 16:41:02,22,100000,California,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8517807.83,-26.1
a611af83-bd35-4df0-8784-ee9ff01bd6cc,2025-02-10 16:46:21,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
a611af83-bd35-4df0-8784-ee9ff01bd6cc,2025-02-10 16:46:39,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.029999999999999,10.0,12.0,10.0,11574751.09,8768531.64,-24.2
a611af83-bd35-4df0-8784-ee9ff01bd6cc,2025-02-10 16:46:51,22,100000,Alabama,65,20.47,50.0,6.0,3.0,4.029999999999999,10.0,12.0,10.0,20690716.49,17898479.93,-13.5
dd0e40db-c1af-4c00-881d-ce96655b4e16,2025-02-10 16:48:55,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
9ab6323e-77a0-45a4-8b30-271c614e9696,2025-02-10 16:50:16,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
9ab6323e-77a0-45a4-8b30-271c614e9696,2025-02-10 16:50:31,22,100000,Arkansas,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8759921.19,-24.0
9ab6323e-77a0-45a4-8b30-271c614e9696,2025-02-10 16:50:43,22,100000,Alaska,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8945453.65,-22.4
736f1994-376c-4212-bd1a-93aef335e9f7,2025-02-10 16:50:55,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
bc122fc6-3089-413c-937c-86693f87589f,2025-02-10 17:22:38,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
bc122fc6-3089-413c-937c-86693f87589f,2025-02-10 17:35:34,22,100000,Alabama,65,10.0,50.0,6.0,3.0,4.0,10.0,12.0,10.0,11530328.93,8734953.69,-24.2
